date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:08:28	836/836	---M--	200	added ('OK')	text/plain	etag:%22344-54f6d92cc6c91%22	http://neonri.com/robots.txt		(from )
18:08:30	102903/102903	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2022:10:28%20GMT	http://neonri.com/	/home/quixote/websites/NEON/neonri.com/index.html	(from )
18:08:32	0/0	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%220-54f57bcfdc0f4%22	http://neonri.com/favicon.ico	/home/quixote/websites/NEON/neonri.com/favicon.ico	(from http://neonri.com/)
18:08:33	3013/3013	---M--	200	added ('OK')	text/css	etag:%22bc5-583dbb4720100%22	http://neonri.com/media/system/css/modal.css?d9a4a8d622266efcdecbb0d07d61c731	/home/quixote/websites/NEON/neonri.com/media/system/css/modal6a57.css	(from http://neonri.com/)
18:08:34	39755/39755	---M--	200	added ('OK')	text/css	etag:%229b4b-59a03936abd91%22	http://neonri.com/media/com_revslider/public/assets/css/settings.css	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/css/settings.css	(from http://neonri.com/)
18:08:36	43889/43889	---M--	200	added ('OK')	text/css	etag:%22ab71-59a03936abd91%22	http://neonri.com/media/com_revslider/public/assets/fonts/font-awesome/css/font-awesome.css?rev=5.4.1	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/font-awesome/css/font-awesome98d4.css	(from http://neonri.com/)
18:08:38	10374/10374	---M--	200	added ('OK')	text/css	etag:%222886-59a03936aec71%22	http://neonri.com/media/com_revslider/public/assets/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/fonts/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from http://neonri.com/)
18:08:41	293386/293386	---M--	200	added ('OK')	text/css	etag:%2247a0a-59a64f05e5acc%22	http://neonri.com/templates/yootheme/css/theme.css?v=1577133203	/home/quixote/websites/NEON/neonri.com/templates/yootheme/css/theme0961.css	(from http://neonri.com/)
18:08:45	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-583dbb4720100%22	http://neonri.com/media/jui/js/jquery-noconflict.js?d9a4a8d622266efcdecbb0d07d61c731	/home/quixote/websites/NEON/neonri.com/media/jui/js/jquery-noconflict6a57.js	(from http://neonri.com/)
18:08:51	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-583dbb4720100%22	http://neonri.com/media/jui/js/jquery-migrate.min.js?d9a4a8d622266efcdecbb0d07d61c731	/home/quixote/websites/NEON/neonri.com/media/jui/js/jquery-migrate.min6a57.js	(from http://neonri.com/)
18:08:54	8808/8808	---M--	200	added ('OK')	application/javascript	etag:%222268-583dbb4720100%22	http://neonri.com/media/system/js/core.js?d9a4a8d622266efcdecbb0d07d61c731	/home/quixote/websites/NEON/neonri.com/media/system/js/core6a57.js	(from http://neonri.com/)
18:08:55	29126/29126	---M--	200	added ('OK')	application/javascript	etag:%2271c6-583dbb4720100%22	http://neonri.com/media/jui/js/bootstrap.min.js?d9a4a8d622266efcdecbb0d07d61c731	/home/quixote/websites/NEON/neonri.com/media/jui/js/bootstrap.min6a57.js	(from http://neonri.com/)
18:09:00	96581/96581	---M--	200	added ('OK')	application/javascript	etag:%2217945-583dbb4720100%22	http://neonri.com/media/jui/js/jquery.min.js?d9a4a8d622266efcdecbb0d07d61c731	/home/quixote/websites/NEON/neonri.com/media/jui/js/jquery.min6a57.js	(from http://neonri.com/)
18:09:08	64938/64938	---M--	200	added ('OK')	application/javascript	etag:%22fdaa-59a03936b1b51%22	http://neonri.com/media/com_revslider/public/assets/js/jquery.themepunch.revolution.min.js	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/js/jquery.themepunch.revolution.min.js	(from http://neonri.com/)
18:09:13	105346/105346	---M--	200	added ('OK')	application/javascript	etag:%2219b82-59a03936b1b51%22	http://neonri.com/media/com_revslider/public/assets/js/jquery.themepunch.tools.min.js	/home/quixote/websites/NEON/neonri.com/media/com_revslider/public/assets/js/jquery.themepunch.tools.min.js	(from http://neonri.com/)
18:09:15	2725/2725	---M--	200	added ('OK')	application/javascript	etag:%22aa5-54f6db7fbea26%22	http://neonri.com/templates/yootheme/js/theme.js?v=1.6.5	/home/quixote/websites/NEON/neonri.com/templates/yootheme/js/theme7be7.js	(from http://neonri.com/)
18:09:17	16246/16246	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2022:11:14%20GMT	http://neonri.com/index.php/about/about-neon	/home/quixote/websites/NEON/neonri.com/index.php/about/about-neon.html	(from http://neonri.com/)
18:09:18	88487/88487	---M--	200	added ('OK')	application/javascript	etag:%22159a7-54f6dbb26247a%22	http://neonri.com/templates/yootheme/vendor/assets/uikit/dist/js/uikit.min.js?v=1.6.5	/home/quixote/websites/NEON/neonri.com/templates/yootheme/vendor/assets/uikit/dist/js/uikit.min7be7.js	(from http://neonri.com/)
18:09:18	21298/21298	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Aug%202022%2022:11:16%20GMT	http://neonri.com/index.php/about/faq	/home/quixote/websites/NEON/neonri.com/index.php/about/faq.html	(from http://neonri.com/)
